title,release_year,genres,budget,revenue,roi,imdb_score
Chernobyl: Abyss,2021,Drama,689000000,6459306,-0.99,5.2
The Kitchen,2019,Gangster,38000000,15980032,-0.58,5.6
Eye in the Sky,2016,Action,13000000,35259653,1.71,7.3
Pawn Sacrifice,2015,Biography,19000000,5578519,-0.71,7
Baaghi,2016,Martial Arts,5200000,11267839,1.17,5.3
The Beach Bum,2019,Stoner Comedy,5000000,4554416,-0.09,5.5
The King of Staten Island,2020,Coming-of-Age,35000000,2180452,-0.94,7.1
Respect,2021,Docudrama,55000000,32882823,-0.4,6.6
Virgin,2020,Drama,50000,9614,-0.81,5.6
Every Day,2018,Drama,4900000,10421847,1.13,6.4
Breakthrough,2019,Medical Drama,14000000,50444358,2.6,6.3
The Innocents,2016,Drama,6400000,7400301,0.16,7.3
A Walk in the Woods,2015,Adventure,8000000,37461274,3.68,6.4
Florence Foster Jenkins,2016,Biography,29000000,49052787,0.69,6.8
God of War,2017,Action,25000000,9559524,-0.62,6.4
Project Wolf Hunting,2023,Monster Horror,12000000000,3872374,-1,6
Little Women,2019,Coming-of-Age,40000000,332103783,7.3,7.8
Cupcakes,2015,Parody,2200000,9129,-1,6
Jackass Forever,2022,Slapstick,10000000,80563999,7.06,6.8
Billie Eilish Live at the O2,2023,Concert,500000,2123117,3.25,7.8
Never Gonna Snow Again,2021,Dark Comedy,4000000,167977,-0.96,6.4
I'm Not Ashamed,2018,Docudrama,1500000,2082980,0.39,5.8
Waterman,2022,Biography,1000000,336834,-0.66,8.2
Homestead,2024,Action,5000000,20811864,3.16,5.4
Disobedience,2018,Drama,6000000,8003180,0.33,6.6
Bros,2022,Raunchy Comedy,22000000,14781867,-0.33,6.4
Brahmastra Part One: Shiva,2022,Action Epic,4100000000,50164785,-0.99,5.6
Sex and the Future,2020,Comedy,1000000,5745,-0.99,2.2
Andhadhun,2018,Conspiracy Thriller,4500000,62475342,12.88,8.2
Masterminds,2016,Caper,25000000,29674699,0.19,5.8
Spider-Man: Into the Spider-Verse,2018,Computer Animation,90000000,393602435,3.37,8.4
The Accidental Getaway Driver,2023,Drama,3000000,63831,-0.98,6.5
Leap!,2017,Computer Animation,30000000,109573511,2.65,6.8
Action Point,2018,Comedy,19000000,5103663,-0.73,5.1
Maleficent: Mistress of Evil,2019,Dark Fantasy,185000000,491730089,1.66,6.6
Always and Forever,2020,Thriller,4000000,302335,-0.92,4.2
Eileen,2023,Period Drama,16000000,1673665,-0.9,5.9
Jason Bourne,2016,Action,120000000,415484914,2.46,6.6
Midway,2019,War Epic,100000000,127390389,0.27,6.7
Avant qu'on explose,2019,Comedy,3850000,119894,-0.97,6.6
A Haunting in Venice,2023,Psychological Horror,60000000,122290456,1.04,6.5
Storks,2016,Animal Adventure,70000000,183800603,1.63,6.8
Poor Boy,2016,Drama,150000,31031,-0.79,4.1
Tubelight,2017,Drama,1550000000,4650456,-1,3.9
Snowden,2016,True Crime,40000000,37357216,-0.07,7.3
Oceans Are the Real Continents,2025,Drama,954000,24435,-0.97,7.1
Double Lover,2017,Drama,7300000,5008945,-0.31,6.2
The Wretched,2020,Folk Horror,1200000,4369493,2.64,5.8
Pleasure,2021,Drama,19000000,393824,-0.98,6.3
The In-Law Gang!,2023,Action,2000000,11301,-0.99,5.2
Cocaine Bear,2023,Dark Comedy,35000000,88314672,1.52,5.9
Operation Mincemeat,2022,Period Drama,6300000,15621194,1.48,6.6
Walk With Me,2017,Faith & Spirituality Documentary,800000,1606705,1.01,6.3
No Ordinary Man,2021,Biography,650000,15508,-0.98,6.9
Hockeyland,2022,Documentary,400000,182488,-0.54,7
The Animal Kingdom,2024,Adventure,13000000,9306225,-0.28,6.7
No Escapes,2020,Action,598512479,12916151,-0.98,6.5
M3GAN,2023,Artificial Intelligence,12000000,180089109,14.01,6.3
Battle of the Sexes,2017,Docudrama,25000000,18598607,-0.26,6.7
Woman at War,2018,Adventure,2500000,4463133,0.79,7.4
Green Book,2018,Docudrama,23000000,321752656,12.99,8.2
Huevos: Little Rooster's Egg-cellent Adventure,2015,Adult Animation,5300000,25892561,3.89,5.7
Secret in Their Eyes,2015,Whodunnit,19500000,34854990,0.79,6.3
Venom,2018,Kaiju,100000000,856085161,7.56,6.6
Flatliners,2017,Teen Horror,19000000,45158254,1.38,5.2
The Competition,2019,Documentary,500000,87492,-0.83,7
The Nun,2018,Supernatural Horror,22000000,366082797,15.64,5.4
God Knows Where I Am,2016,Biography,1100000,21135,-0.98,7.2
Nocturama,2017,Drama,5600000,321768,-0.94,6.4
Wonder,2017,Coming-of-Age,20000000,315025930,14.75,7.9
Kedarnath,2018,Disaster,350000000,13999297,-0.96,6.8
Hillsong: Let Hope Rise,2016,Documentary,800000,2649761,2.31,6
Saw X,2023,Body Horror,13000000,112202480,7.63,6.6
Ip Man 4: The Finale,2019,Kung Fu,52000000,176345966,2.39,7
Monster Trucks,2017,Car Action,125000000,64493915,-0.48,5.7
Inside the Rain,2020,Comedy,1000000,8140,-0.99,4.6
The Peanut Butter Falcon,2019,Coming-of-Age,6200000,23712097,2.82,7.6
Fly Me to the Moon,2024,Romantic Comedy,100000000,42255755,-0.58,6.6
Under the Tree,2018,Dark Comedy,250000000,944991,-1,6.8
CHIPS,2017,Buddy Cop,25000000,26800152,0.07,6
The Disaster Artist,2017,Dark Comedy,10000000,29820616,1.98,7.3
Krampus,2015,Dark Fantasy,15000000,61548707,3.1,6.2
I Smile Back,2015,Drama,495000,63373,-0.87,6.2
Asterix & Obelix: The Middle Kingdom,2023,Buddy Comedy,62000000,46497678,-0.25,5.1
The Other Side of Hope,2017,Comedy,1600000,4282973,1.68,7.2
Jurassic World: Dominion,2022,Dinosaur Adventure,165000000,1001978080,5.07,5.6
The Bye Bye Man,2017,Drama,7400000,29874280,3.04,4.3
Fall,2022,Survival,3000000,18021709,5.01,6.4
Manglehorn,2015,Drama,4000000,459636,-0.89,5.5
Child 44,2015,True Crime,50000000,12951093,-0.74,6.4
Halloween Ends,2022,Dark Romance,30000000,104374176,2.48,5
Hitman: Agent 47,2015,Action,35000000,82347656,1.35,5.7
Monsters of Man,2020,Artificial Intelligence,1000000,6854,-0.99,5.4
What We Do in the Shadows,2015,Dark Comedy,1600000,8900776,4.56,7.6
Tanner Hall,2015,Drama,3000000,5073,-1,5.7
Crimson Peak,2015,Dark Romance,55000000,74679822,0.36,6.5
Smile,2022,Psychological Horror,17000000,217408513,11.79,6.5
A Most Violent Year,2015,Crime,20000000,12007070,-0.4,6.9
Smile 2,2024,Psychological Horror,28000000,138128854,3.93,6.7
Fan,2016,Action,15670000,28240000,0.8,6.8
"My Donkey, My Lover & I",2020,Romantic Comedy,3570000,7974769,1.23,6.5
American Star,2024,Drama,5000000,15848,-1,5.5
Tigers Are Not Afraid,2019,Supernatural Horror,26040000,576598,-0.98,6.9
Dangal,2016,Action,700000000,303726694,-0.57,8.3
My Boyfriend's Meds,2020,Comedy,3300000,6292780,0.91,4.6
Dog Days,2018,Comedy,10000000,6842356,-0.32,6.2
Harriet,2019,Docudrama,17000000,43347017,1.55,6.7
Parallel Policy,2020,Documentary,3000000,1070,-1,4.6
If Beale Street Could Talk,2018,Drama,12000000,20596567,0.72,7.1
Diary of a Wimpy Kid: The Long Haul,2017,Road Trip,22000000,40140972,0.82,4.3
Mr. Church,2016,Comedy,8000000,685780,-0.91,7.6
Terminator: Dark Fate,2019,Artificial Intelligence,185000000,261119292,0.41,6.2
Mrs. Harris Goes to Paris,2022,Period Drama,13000000,31182637,1.4,7.1
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,Computer Animation,70000000,181935518,1.6,7.2
Cinderella,2015,Fairy Tale,95000000,542358331,4.71,6.9
Night School,2018,Comedy,29000000,103105878,2.56,5.6
SuperFly,2018,Action,16000000,20780685,0.3,5.3
Last Night in Soho,2021,Giallo,43000000,22957625,-0.47,7
Jurassic World,2015,Dinosaur Adventure,150000000,1671537444,10.14,6.9
Desierto,2016,Action,3000000,4924990,0.64,6.1
Queenpins,2021,Buddy Comedy,7000000,1277031,-0.82,6.4
Scary Stories to Tell in the Dark,2019,Teen Horror,25000000,104545505,3.18,6.2
Deadpool & Wolverine,2024,Buddy Comedy,200000000,1338073645,5.69,7.6
Spectre,2015,Globetrotting Adventure,245000000,880707597,2.59,6.8
The Death of Stalin,2018,Dark Comedy,13000000,24646055,0.9,7.3
Queen of Earth,2015,Drama,200000,95183,-0.52,6.2
Stonewall,2015,Drama,13500000,292669,-0.98,5.4
Echo Boomers,2020,Action,2500000,2934433,0.17,5.3
SGT. Will Gardner,2019,Action,2500000,4405,-1,5.9
The Assassin,2015,Wuxia,15000000,11991669,-0.2,6.3
Captain Fantastic,2016,Coming-of-Age,5000000,23149206,3.63,7.8
Monster Hunter,2020,Dark Fantasy,60000000,42145959,-0.3,5.2
Trolls,2016,Computer Animation,125000000,347337803,1.78,6.4
Ex Machina,2015,Artificial Intelligence,15000000,37394629,1.49,7.7
The Infiltrator,2016,Drug Crime,28000000,21011110,-0.25,7
Colonia,2016,Political Thriller,14000000,3621046,-0.74,7
La civil,2022,Drama,1750000,199941,-0.89,7.2
The First Purge,2018,Dystopian Sci-Fi,13000000,137056262,9.54,5.2
"I, Tonya",2018,Dark Comedy,11000000,53939297,3.9,7.5
Deadpool 2,2018,Dark Comedy,110000000,785896632,6.14,7.6
High on the Hog,2019,Action,1200000,45696,-0.96,3.5
The Kid,2019,Biography,8000000,1562277,-0.8,5.9
Kingsman: The Secret Service,2015,Gun Fu,81000000,414351546,4.12,7.7
Color Out of Space,2020,Horror,6000000,1023510,-0.83,6.1
Gunner,2024,Action,6000000,31746,-0.99,3.2
White Boy Rick,2018,Drug Crime,29000000,25957482,-0.1,6.5
Blade Runner 2049,2017,Action Epic,150000000,276605984,0.84,8
The Angry Birds Movie 2,2019,Animal Adventure,65000000,147792047,1.27,6.4
Alarum,2025,Action,20000000,189036,-0.99,3.3
Victor Frankenstein,2015,Steampunk,65000000,34227298,-0.47,6
Emily the Criminal,2022,Heist,3000000,2157673,-0.28,6.7
Pinocchio,2022,Fairy Tale,150000000,33731,-1,5.1
Our Brand Is Crisis,2015,Political Drama,28000000,9002261,-0.68,6.1
Challengers,2024,Psychological Drama,55000000,96119408,0.75,7
Borg vs. McEnroe,2018,Docudrama,165000000,3431867,-0.98,6.9
Missing Link,2019,Buddy Comedy,100000000,26565710,-0.73,6.7
"Hello, My Name Is Doris",2016,Satire,1000000,14659448,13.66,6.6
Escape from Mogadishu,2021,Action,24000000000,29902716,-1,7
Get Out,2017,Dark Comedy,4500000,255751443,55.83,7.8
Winchester,2018,Supernatural Horror,3500000,44019588,11.58,5.5
Happening,2021,Drama,5200000,1577367,-0.7,7.4
Indiana Jones and the Dial of Destiny,2023,Adventure Epic,387200000,383963057,-0.01,6.5
The Shape of Water,2017,Dark Fantasy,19400000,195243464,9.06,7.3
Burnt,2015,Comedy,20000000,36606743,0.83,6.6
Dungeons & Dragons: Honor Among Thieves,2023,Quest,150000000,205460387,0.37,7.2
Motherless Brooklyn,2019,Cop Drama,26000000,18577736,-0.29,6.8
The Outfit,2022,Gangster,5000000,4032313,-0.19,7.2
Death on the Nile,2022,Whodunnit,90000000,137307235,0.53,6.3
The Batman,2022,Action Epic,185000000,772319315,3.17,7.8
In the Heights,2021,Pop Musical,55000000,45175167,-0.18,7.2
I Feel Pretty,2018,Comedy,32000000,94539879,1.95,5.7
Sing,2016,Animal Adventure,75000000,634338409,7.46,7.1
Creed,2015,Boxing,35000000,174178883,3.98,7.6
The 5th Wave,2016,Alien Invasion,38000000,109906372,1.89,5.2
My Life as a Zucchini,2017,Adult Animation,6500000,5873157,-0.1,7.8
Copshop,2021,Action,43000000,6807158,-0.84,6.2
Lazer Team,2016,Superhero,2480421,1406538,-0.43,5.5
Wolf Man,2025,Body Horror,25000000,34151548,0.37,5.6
A Dog's Way Home,2019,Adventure,18000000,80708134,3.48,6.7
Insidious: Chapter 3,2015,Supernatural Horror,10000000,112983889,10.3,6.1
Going in Style,2017,Caper,25000000,85218541,2.41,6.6
Life of the Party,2018,Comedy,30000000,65659911,1.19,5.6
Angel Has Fallen,2019,Conspiracy Thriller,40000000,146661977,2.67,6.4
The Brutalist,2025,Epic,10000000,48520129,3.85,7.5
The SpongeBob Movie: Sponge on the Run,2021,Computer Animation,60000000,4810790,-0.92,5.9
Cake,2015,Drama,7000000,2433850,-0.65,6.4
Dictator,2016,Action,300000000,104734,-1,4
Once I Was a Beehive,2015,Comedy,200000,732655,2.66,6.2
Jexi,2019,Comedy,5000000,9341824,0.87,6
Keane,2022,Drama,850000,476630,-0.44,6.8
Black and Blue,2019,Conspiracy Thriller,12000000,22741061,0.9,6.4
Ghost in the Shell,2017,Artificial Intelligence,110000000,169846945,0.54,6.3
Valley of Bones,2017,Crime,3000000,168738,-0.94,4.2
"Casanova, Last Love",2019,Drama,6500000,558717,-0.91,4.9
Hell or High Water,2016,Contemporary Western,12000000,37999675,2.17,7.6
Dog,2022,Buddy Comedy,15000000,84550282,4.64,6.5
Southpaw,2015,Boxing,30000000,91970827,2.07,7.3
The Rose Maker,2022,Quirky Comedy,5979175,2876321,-0.52,6.4
Life Itself,2018,Drama,10000000,7997774,-0.2,6.9
Hotel Transylvania 2,2015,Computer Animation,80000000,475186976,4.94,6.6
One Small Hitch,2015,Feel-Good Romance,500000,20700,-0.96,6.5
Full Time,2023,Drama,2790000,1878826,-0.33,7.4
Toy Story 4,2019,Computer Animation,200000000,1073841394,4.37,7.6
Teen Titans GO! To the Movies,2018,Hand-Drawn Animation,10000000,52390236,4.24,6.7
The Gift,2015,Psychological Thriller,5000000,58980521,10.8,7
The Ottoman Lieutenant,2017,Drama,40000000,413844,-0.99,6.4
Ága,2019,Drama,1000000,85996,-0.91,7.2
"Love, Simon",2018,Coming-of-Age,17000000,66719009,2.92,7.5
The Red Ghost,2021,Period Drama,50097486,16842,-1,6.1
Sonic the Hedgehog 3,2024,Animal Adventure,122000000,491100420,3.03,6.9
The Beasts,2022,Drama,3900000,10067896,1.58,7.5
Tully,2018,Comedy,13000000,15636462,0.2,6.9
The Inventor,2023,Stop Motion Animation,10000000,2060705,-0.79,5.7
Fast Charlie,2023,Action,20000000,260233,-0.99,6
Rules Don't Apply,2016,Comedy,25000000,3885342,-0.84,5.7
The Monkey King 2,2016,Action,68005000,193678298,1.85,5.9
Fist Fight,2017,Raunchy Comedy,22000000,41187017,0.87,5.6
5 Flights Up,2015,Comedy,6000000,3679847,-0.39,6.2
Pan,2015,Fairy Tale,150000000,128988320,-0.14,5.7
Sinister 2,2015,Horror,10000000,53329150,4.33,5.3
Soorma,2018,Biography,200000000,6579645,-0.97,7.3
The Film Critic,2015,Comedy,2000000,165891,-0.92,6.2
The Last King,2016,Costume Drama,45000000,3705618,-0.92,6.1
Cthulhu,2019,Drama,750000,15213,-0.98,4.6
The Belko Experiment,2017,Dark Comedy,5000000,11084630,1.22,6.2
The Mule,2018,Contemporary Western,50000000,174804407,2.5,7
X,2022,Slasher Horror,1000000,14745049,13.75,6.5
Proud Mary,2018,Action,14000000,21753365,0.55,5
The Farewell,2019,Comedy,3000000,23076657,6.69,7.5
Escobar: Paradise Lost,2015,Drug Crime,17000000,6760531,-0.6,6.5
Crimes of the Future,2022,Body Horror,35000000,4551565,-0.87,5.8
Tiger Zinda Hai,2017,Action,20470000,87320000,3.27,5.9
What Men Want,2019,Comedy,20000000,72216294,2.61,5.4
The Salvation,2015,Action,10500000,1363964,-0.87,6.7
The Secret Life of Pets,2016,Animal Adventure,75000000,875698161,10.68,6.5
Land of Bad,2024,Action,25000000,7021101,-0.72,6.6
Yesterday,2019,Feel-Good Romance,26000000,154608856,4.95,6.8
Bright Ones,2019,Musical,600000,165627,-0.72,7.8
The Forever Purge,2021,Contemporary Western,18000000,76994245,3.28,5.4
An Inconvenient Sequel: Truth to Power,2017,Documentary,1000000,5433926,4.43,6.6
Santosh,2024,Crime,5000000,1147090,-0.77,7
Day Zero,2022,Drama,2000000,16659,-0.99,5.9
Equals,2016,Dark Romance,16000000,2084628,-0.87,6
The Unknown Girl,2017,Psychological Drama,7031914,2432640,-0.65,6.5
Swiss Army Man,2016,Buddy Comedy,3000000,4935501,0.65,6.9
Boo 2! A Madea Halloween,2017,Comedy,25000000,48333932,0.93,4
Mother's Day,2016,Feel-Good Romance,25000000,48782670,0.95,5.7
Baar Baar Dekho,2016,Drama,35000000,7122579,-0.8,5.4
Horizon: An American Saga - Chapter 1,2024,Epic,100000000,38735702,-0.61,6.7
Force of Nature,2020,Action,15000000,638221,-0.96,4.6
Lucy in the Sky,2019,Drama,21400000,481707,-0.98,4.9
The Fall Guy,2024,Action,130000000,181073291,0.39,6.8
JCVD,2019,Dark Comedy,10000000,2342211,-0.77,7
Kaashmora,2016,Action,7500000,354631,-0.95,5.6
Let the Little Light Shine,2022,Documentary,480000,7144,-0.99,7.4
The Forgotten Battle,2021,Action,14000000,6000546,-0.57,7.1
Peggy Guggenheim: Art Addict,2015,Biography,1100000,796800,-0.28,7.2
My All-American,2015,Football,20000000,2246000,-0.89,7.2
Steve Jobs,2015,Docudrama,30000000,34441873,0.15,7.2
The Heart of Man,2017,Documentary,850000,1179033,0.39,8.2
Smoking Causes Coughing,2023,Quirky Comedy,5500000,1192205,-0.78,6.5
The Pope's Exorcist,2023,Supernatural Horror,18000000,76987621,3.28,6.1
Boss Level,2021,Dark Comedy,45000000,1753823,-0.96,6.8
Boys from County Hell,2021,Folk Horror,3000000,102015,-0.97,5.9
The Letters,2015,Drama,20000000,1647416,-0.92,6.2
Framing Agnes,2022,Documentary,250000,48147,-0.81,6.7
Hichki,2018,Comedy,2000000,26055222,12.03,7.5
Kung Fu Panda 4,2024,Animal Adventure,85000000,547689492,5.44,6.3
Fast & Furious Presents: Hobbs & Shaw,2019,Car Action,200000000,760732926,2.8,6.5
The 15:17 to Paris,2018,Biography,30000000,57176286,0.91,5.3
Joy,2015,Docudrama,60000000,101134059,0.69,6.6
Let There Be Light,2017,Drama,3000000,7241302,1.41,4.6
Jeanne du Barry,2024,Period Drama,22400000,14547999,-0.35,6.7
The Man from U.N.C.L.E.,2015,Globetrotting Adventure,75000000,110045109,0.47,7.2
Marshall,2017,Docudrama,12000000,10116816,-0.16,7.3
Kung Fu Jungle,2015,Martial Arts,25000000,24070765,-0.04,6.4
Brooklyn,2015,Period Drama,11000000,62402155,4.67,7.5
A Simple Favor,2018,Dark Comedy,20000000,97644617,3.88,6.8
The Book of Sun,2020,Comedy,500000,12005,-0.98,7.9
After,2019,Steamy Romance,14000000,69497587,3.96,5.3
The Last Voyage of the Demeter,2023,Dark Fantasy,45000000,21786275,-0.52,6.1
Blood Red Sky,2021,Supernatural Horror,15000000,401834,-0.97,6.1
Acrimony,2018,Drama,20000000,46403669,1.32,5.9
Popstar: Never Stop Never Stopping,2016,Mockumentary,20000000,9680029,-0.52,6.7
The Monkey,2025,Dark Comedy,10000000,61919789,5.19,6.3
The Bronze,2016,Comedy,3500000,615816,-0.82,6.1
The Zookeeper's Wife,2017,Biography,20000000,26152835,0.31,7
The Strangers: Prey at Night,2018,Slasher Horror,5000000,31039126,5.21,5.3
Prem Ratan Dhan Payo,2015,Action,1800000000,52715771,-0.97,4.4
Transformers: Rise of the Beasts,2023,Alien Invasion,200000000,441656550,1.21,6
The Big Sick,2017,Romantic Comedy,5000000,56411585,10.28,7.5
Ashfall,2019,Action,17700000,61354854,2.47,6.2
Happy Death Day,2017,Dark Comedy,4800000,125479266,25.14,6.6
Bloodshot,2020,Superhero,45000000,39861118,-0.11,5.7
A Madea Family Funeral,2019,Comedy,20000000,74747725,2.74,4.7
Mojin: The Lost Legend,2015,Action,37000000,259368448,6.01,5.9
Rudderless,2015,Comedy,5000000,546149,-0.89,7.4
Killer Raccoons! 2! Dark Christmas in the Dark!,2020,Comedy,50000,50932,0.02,4.2
Waves,2019,Coming-of-Age,6000000,2576990,-0.57,7.5
Dual,2022,Psychological Thriller,4500000,425909,-0.91,5.8
Monsieur Aznavour,2024,Biography,26000000,15300282,-0.41,7.3
The Boy Next Door,2015,Thriller,4000000,52425855,12.11,4.7
Papillon,2018,True Crime,7000000,10060903,0.44,7.2
Self/less,2015,Dark Comedy,26000000,31807156,0.22,6.5
The Gray Man,2022,One-Person Army Action,200000000,454023,-1,6.5
"Lyle, Lyle, Crocodile",2022,Animal Adventure,50000000,111080122,1.22,6.1
Annihilation,2018,Alien Invasion,40000000,43070915,0.08,6.8
Insidious: The Red Door,2023,Supernatural Horror,16000000,189086877,10.82,5.5
Den of Thieves: Pantera,2025,Action,40000000,57349303,0.43,6.3
Instant Family,2018,Comedy,48000000,120989830,1.52,7.3
Journey to Bethlehem,2023,Adventure,6000000,7778330,0.3,6.4
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2021,Adult Animation,15000000,473230408,30.55,8.2
Captain Underpants: The First Epic Movie,2017,Buddy Comedy,38000000,125427681,2.3,6.2
Southside with You,2016,Biography,1500000,6628603,3.42,6.3
Detroit,2017,Period Drama,34000000,23355100,-0.31,7.3
Sand Storm,2016,Drama,3850000,414698,-0.89,6.8
Almost Christmas,2016,Holiday Comedy,17000000,42580920,1.5,6.2
The Personal History of David Copperfield,2020,Comedy,15600000,14399270,-0.08,6.4
The Hate U Give,2018,Coming-of-Age,23000000,34934009,0.52,7.5
Magic Mike's Last Dance,2023,Showbiz Drama,40000000,57105156,0.43,5.2
The Legend of Tarzan,2016,Jungle Adventure,180000000,357243061,0.98,6.2
The Goldfinch,2019,Crime,45000000,10032621,-0.78,6.4
Inside Out 2,2024,Coming-of-Age,200000000,1698863816,7.49,7.5
Portrait of a Lady on Fire,2020,Steamy Romance,4860000,9869497,1.03,8.1
Dora and the Lost City of Gold,2019,Jungle Adventure,49000000,120597108,1.46,6.1
Slender Man,2018,Psychological Horror,10000000,51738549,4.17,3.3
A Cure for Wellness,2017,Psychological Horror,40000000,26620002,-0.33,6.4
City of Lies,2021,Police Procedural,50000000,2824459,-0.94,6.5
Blaze,2018,Biography,1200000,704955,-0.41,6.6
Knock Knock,2015,Psychological Thriller,2500000,5567103,1.23,4.9
Palau the Movie,2019,Biography,2000000,171155,-0.91,6.4
Maybe I Do,2023,Comedy,7500000,4450096,-0.41,5
Avengers: Infinity War,2018,Space Sci-Fi,321000000,2052415039,5.39,8.4
Grandma,2015,Comedy,600000,7205073,11.01,6.7
Weathering with You,2020,Adult Animation,11100000,192495409,16.34,7.5
Paradise,2017,Drama,4635000,945991,-0.8,7
Love & Mercy,2015,Biography,10000000,28641776,1.86,7.4
He Was a Quiet Man,2020,Drama,600000,83440,-0.86,6.7
10 Days in a Madhouse,2015,Drama,100000,14616,-0.85,5.6
Megalopolis,2024,Epic,120000000,14354398,-0.88,4.7
X-Men: Dark Phoenix,2019,Superhero,200000000,252442974,0.26,5.7
The Florida Project,2017,Coming-of-Age,2000000,10954677,4.48,7.6
White Bird,2024,Biography,20000000,9025103,-0.55,7.3
Have It All -The Movie,2018,Documentary,250000,197142,-0.21,8.3
Guns Akimbo,2020,Dark Comedy,15000000,1034769,-0.93,6.3
The Creator,2023,Action Epic,80000000,104272136,0.3,6.7
PAW Patrol: The Movie,2021,Computer Animation,26000000,144327371,4.55,6.1
Avengers: Endgame,2019,Space Sci-Fi,356000000,2799439100,6.86,8.4
The Innocent,2022,Comedy,3660000,5319113,0.45,6.6
Mulan,2020,Adventure Epic,200000000,69965374,-0.65,5.8
War,2019,Action Epic,21000000,67179155,2.2,6.6
The Equalizer 3,2023,One-Person Army Action,70000000,191067560,1.73,6.8
Nocturnal Animals,2016,Psychological Thriller,22500000,30311857,0.35,7.4
The Lazarus Effect,2015,Slasher Horror,3300000,38356892,10.62,5.2
First Man,2018,Docudrama,59000000,105713218,0.79,7.3
Hot Tub Time Machine 2,2015,Comedy,14000000,13081651,-0.07,5
The Son,2023,Psychological Drama,6000000,3617681,-0.4,6.5
Sound of Freedom,2023,Docudrama,14600000,250570396,16.16,7.6
Trust Machine: The Story of Blockchain,2018,Documentary,1200000,14905,-0.99,6.7
Heretic,2024,Psychological Horror,10000000,59257153,4.93,7
Project Almanac,2015,Time Travel,12000000,33213241,1.77,6.4
Mortdecai,2015,Caper,60000000,47275717,-0.21,5.5
Macbeth,2015,Epic,15000000,16322067,0.09,6.6
War Dogs,2016,Dark Comedy,40000000,86434523,1.16,7.1
Eternals,2021,Superhero,200000000,402064899,1.01,6.2
Countdown,2019,Cyber Thriller,6500000,48021766,6.39,5.4
Radhe Shyam,2022,Romance,2000000000,15954804,-0.99,5.2
Downton Abbey,2019,Costume Drama,13000000,194694725,13.98,7.4
Titane,2021,Body Horror,5700000,4982335,-0.13,6.5
Max,2015,Animal Adventure,20000000,43956255,1.2,6.6
Focus,2015,Caper,50100000,159162963,2.18,6.6
Alles op tafel,2021,Comedy,496000,3128684,5.31,6.6
The Many Saints of Newark,2021,Crime,50000000,13037403,-0.74,6.3
Johnny English Strikes Again,2018,Parody,25000000,158972570,5.36,6.2
Who Will Write Our History,2018,Documentary,1500000,138868,-0.91,7.5
90 Minutes in Heaven,2015,Drama,5000000,4842699,-0.03,4.9
Black or White,2015,Drama,9000000,21833967,1.43,6.6
Graduation,2016,Crime,2000000,2015002,0.01,7.3
Black Widow,2021,Spy,200000000,379751655,0.9,6.6
I Still Believe,2020,Biography,12000000,16069730,0.34,6.5
Kinds of Kindness,2024,Dark Comedy,15000000,16398509,0.09,6.5
The Heiresses,2019,Drama,514000,811196,0.58,6.6
Clown,2016,Body Horror,1500000,4381603,1.92,5.7
Pitch Perfect 3,2017,Teen Comedy,45000000,185400345,3.12,5.8
The Lady in the Van,2016,Biography,6000000,41387687,5.9,6.7
Saturday Night,2024,Docudrama,25000000,10055029,-0.6,6.9
Pirates of the Caribbean: Dead Men Tell No Tales,2017,Sea Adventure,230000000,795922298,2.46,6.5
The Ministry of Ungentlemanly Warfare,2024,War Epic,60000000,29752060,-0.5,6.8
Sonic the Hedgehog 2,2022,Animal Adventure,110000000,405421518,2.69,6.5
Blackhat,2015,Cyber Thriller,70000000,19652057,-0.72,5.5
It Follows,2015,Psychological Horror,1000000,21808393,20.81,6.8
Unhinged,2020,Car Action,33000000,44331465,0.34,6
Blood Fest,2018,Supernatural Horror,1200000,122833,-0.9,5.4
I Am Big Bird: The Caroll Spinney Story,2015,Biography,100000,67845,-0.32,7.5
Yolo,2024,Boxing,100000000,433593489,3.34,6.9
The Day the Earth Blew Up: A Looney Tunes Movie,2025,Alien Invasion,15000000,9285314,-0.38,7
The Quiet,2017,Crime,900000,381420,-0.58,6.1
The King's Daughter,2022,Quest,40500000,2231447,-0.94,5.2
Tenet,2020,Time Travel,205000000,365304105,0.78,7.3
The Wedding Guest,2019,Action,5000000,386166,-0.92,5.8
Jumanji: The Next Level,2019,Body Swap Comedy,125000000,801693929,5.41,6.6
Revenge,2018,Action,3000000,938055,-0.69,6.4
Candyman,2021,Psychological Horror,22000000,77411570,2.52,5.9
The Dark Tower,2017,Dark Fantasy,60000000,113231078,0.89,5.6
Irreplaceable,2017,Comedy,5400000,15130912,1.8,6.5
Rorschach,2022,Action,120000000,2145878,-0.98,6.9
Snow White,2025,Fairy Tale,250000000,92629251,-0.63,1.6
No Hard Feelings,2023,Raunchy Comedy,45000000,87256407,0.94,6.3
Slalom,2021,Coming-of-Age,1500000,572724,-0.62,6.6
The Best of Enemies,2019,Docudrama,10000000,10209813,0.02,7.3
She Said,2022,Docudrama,32000000,13944212,-0.56,7.3
Incredibles 2,2018,Computer Animation,200000000,1243225667,5.22,7.5
Bones and All,2022,Coming-of-Age,16000000,15234907,-0.05,6.8
13 Hours: The Secret Soldiers of Benghazi,2016,Action,50000000,69411370,0.39,7.3
